Custome ID,Country,City,State,PostalCode,Region,OrderID,ProductID
CG-12520,United States,Henderson,Kentucky,42420,South,CA-2016-152156,FUR-BO-10001798
CG-12520,United States,Henderson,Kentucky,42420,South,CA-2016-152156,FUR-CH-10000454
DV-13045,United States,Los Angeles,California,90036,West,CA-2016-138688,OFF-LA-10000240
SO-20335,United States,Fort Lauderdale,Florida,33311,South,US-2015-108966,FUR-TA-10000577
SO-20335,United States,Fort Lauderdale,Florida,33311,South,US-2015-108966,OFF-ST-10000760
BH-11710,United States,Los Angeles,California,90032,West,CA-2014-115812,FUR-FU-10001487
BH-11710,United States,Los Angeles,California,90032,West,CA-2014-115812,OFF-AR-10002833
BH-11710,United States,Los Angeles,California,90032,West,CA-2014-115812,TEC-PH-10002275
BH-11710,United States,Los Angeles,California,90032,West,CA-2014-115812,OFF-BI-10003910
BH-11710,United States,Los Angeles,California,90032,West,CA-2014-115812,OFF-AP-10002892
BH-11710,United States,Los Angeles,California,90032,West,CA-2014-115812,FUR-TA-10001539
BH-11710,United States,Los Angeles,California,90032,West,CA-2014-115812,TEC-PH-10002033
AA-10480,United States,Concord,North Carolina,28027,South,CA-2017-114412,OFF-PA-10002365
IM-15070,United States,Seattle,Washington,98103,West,CA-2016-161389,OFF-BI-10003656
HP-14815,United States,Fort Worth,Texas,76106,Central,US-2015-118983,OFF-AP-10002311
HP-14815,United States,Fort Worth,Texas,76106,Central,US-2015-118983,OFF-BI-10000756
PK-19075,United States,Madison,Wisconsin,53711,Central,CA-2014-105893,OFF-ST-10004186
AG-10270,United States,West Jordan,Utah,84084,West,CA-2014-167164,OFF-ST-10000107
ZD-21925,United States,San Francisco,California,94109,West,CA-2014-143336,OFF-AR-10003056
ZD-21925,United States,San Francisco,California,94109,West,CA-2014-143336,TEC-PH-10001949
ZD-21925,United States,San Francisco,California,94109,West,CA-2014-143336,OFF-BI-10002215
KB-16585,United States,Fremont,Nebraska,68025,Central,CA-2016-137330,OFF-AR-10000246
KB-16585,United States,Fremont,Nebraska,68025,Central,CA-2016-137330,OFF-AP-10001492
SF-20065,United States,Philadelphia,Pennsylvania,19140,East,US-2017-156909,FUR-CH-10002774
EB-13870,United States,Orem,Utah,84057,West,CA-2015-106320,FUR-TA-10000577
EH-13945,United States,Los Angeles,California,90049,West,CA-2016-121755,OFF-BI-10001634
EH-13945,United States,Los Angeles,California,90049,West,CA-2016-121755,TEC-AC-10003027
TB-21520,United States,Philadelphia,Pennsylvania,19140,East,US-2015-150630,FUR-BO-10004834
TB-21520,United States,Philadelphia,Pennsylvania,19140,East,US-2015-150630,OFF-BI-10000474
TB-21520,United States,Philadelphia,Pennsylvania,19140,East,US-2015-150630,FUR-FU-10004848
TB-21520,United States,Philadelphia,Pennsylvania,19140,East,US-2015-150630,OFF-EN-10001509
TB-21520,United States,Philadelphia,Pennsylvania,19140,East,US-2015-150630,OFF-AR-10004042
TB-21520,United States,Philadelphia,Pennsylvania,19140,East,US-2015-150630,OFF-BI-10001525
TB-21520,United States,Philadelphia,Pennsylvania,19140,East,US-2015-150630,OFF-AR-10001683
MA-17560,United States,Houston,Texas,77095,Central,CA-2017-107727,OFF-PA-10000249
GH-14485,United States,Richardson,Texas,75080,Central,CA-2016-117590,TEC-PH-10004977
